=== READER-1 GAPS: Recon & Process (60 gaps) ===

GAP-R1-001 | HIGH | Recon | Nmap ACK scan for UFW bypass missing - TCP-ACK scan (-sA) identifies unfiltered ports even when SYN is blocked
GAP-R1-002 | HIGH | Recon | Idle/zombie scan absent - nmap -sI <zombie> for IDS-heavy environments
GAP-R1-003 | MEDIUM | Recon | TCP scan type decision tree missing - when to use -sS vs -sT vs -sA vs idle scan
GAP-R1-004 | MEDIUM | Recon | NULL/FIN/Xmas scans not in methodology (-sN/-sF/-sX for stealth)
GAP-R1-005 | MEDIUM | Recon | SCTP scan missing (-sY/-sZ for VOIP/telecom targets)
GAP-R1-006 | MEDIUM | Recon | Fragmentation/decoy options absent (-f -D RND:5 --data-length --source-port 53)
GAP-R1-007 | MEDIUM | Recon | Banner grabbing order undefined - manual nc capture when -sV misses detail
GAP-R1-008 | HIGH | Enumeration | FTP reconnaissance completely missing - anon check, write test, ftp-bounce
GAP-R1-009 | HIGH | Enumeration | SNMP community string brute-force missing - onesixtyone with dict.txt
GAP-R1-010 | MEDIUM | Enumeration | Web vhost catch-all filter logic missing - ffuf -fs <baseline-size>
GAP-R1-011 | HIGH | Enumeration | robots.txt/.git/.env first-step recon missing
GAP-R1-012 | MEDIUM | Enumeration | HTTP response header interpretation missing (Server, X-Powered-By, Set-Cookie)
GAP-R1-013 | MEDIUM | Enumeration | SSL cert CN/SAN check order wrong - openssl s_client showcerts
GAP-R1-014 | HIGH | Enumeration | Recursive dir brute-force depth missing - feroxbuster -d 3 re-run logic
GAP-R1-015 | MEDIUM | Enumeration | Default credentials check-every-found-service logic missing
GAP-R1-016 | HIGH | Exploitation | Searchsploit usage order missing - after version detect, ALWAYS searchsploit first
GAP-R1-017 | MEDIUM | Exploitation | Exploit source code review missing - head -40 to check compile flags
GAP-R1-018 | MEDIUM | Post-Exploitation | sudo -l not enforced as MANDATORY first shell action
GAP-R1-019 | HIGH | Post-Exploitation | SUID/SGID find flags - find / -perm -u=s vs -perm -g=s
GAP-R1-020 | MEDIUM | Post-Exploitation | Capabilities priority missing - cap_setuid > cap_dac_read > cap_chown
GAP-R1-021 | HIGH | Post-Exploitation | Writable path discovery incomplete - priority /tmp > $HOME > app dirs > /dev/shm
GAP-R1-022 | MEDIUM | Post-Exploitation | Cron job pspy64 usage - run in background, then trigger
GAP-R1-023 | MEDIUM | Post-Exploitation | NFS no_root_squash mount line missing - vers=3,nolock critical
GAP-R1-024 | HIGH | Post-Exploitation | Credential hunting grep patterns incomplete - grep -riE 'pass|secret|api_key'
GAP-R1-025 | MEDIUM | Reporting | Screenshot naming convention missing
GAP-R1-026 | HIGH | Methodology | Recursive enumeration loop not formalized - new cred → nxc smb/winrm/ssh/rdap ALL IPs
GAP-R1-027 | HIGH | Enumeration | MSF module check missing after nmap -sV
GAP-R1-028 | MEDIUM | Recon | WHOIS/DNS recon missing for external tests
GAP-R1-029 | MEDIUM | Recon | DNS AXFR as FIRST DNS action order not enforced
GAP-R1-030 | HIGH | Enumeration | SMB share enum credential cascade missing - NULL → guest → creds order
GAP-R1-031 | MEDIUM | Enumeration | Windows event log credential hunting missing
GAP-R1-032 | MEDIUM | Post-Exploitation | Kernel exploit decision criteria missing - last resort only
GAP-R1-033 | MEDIUM | Post-Exploitation | Potato attack selection matrix missing - PrintSpoofer vs RoguePotato vs GodPotato
GAP-R1-034 | MEDIUM | Post-Exploitation | UAC bypass trigger missing - check UAC level first
GAP-R1-035 | HIGH | Enumeration | LDAP anonymous bind rejection handling missing
GAP-R1-036 | MEDIUM | AD | BloodHound collection method selection - bloodhound-python vs SharpHound vs rusthound
GAP-R1-037 | MEDIUM | AD | AS-REP roast BEFORE Kerberoast - no domain creds needed
GAP-R1-038 | MEDIUM | AD | Credential spraying rate-limit awareness - get password policy first
GAP-R1-039 | HIGH | Pivoting | Chisel upload method selection missing - HTTP vs SMB vs base64
GAP-R1-040 | MEDIUM | Pivoting | Proxychains proxy chain order missing
GAP-R1-041 | MEDIUM | File Transfer | LOLBAS download priority matrix missing
GAP-R1-042 | MEDIUM | Reporting | Evidence quality baseline missing - what counts as proof
GAP-R1-043 | MEDIUM | Methodology | Timeout/rate-limiting retry logic missing
GAP-R1-044 | MEDIUM | Post-Exploitation | Registry hive dump order - SAM + SYSTEM + SECURITY all required
GAP-R1-045 | MEDIUM | Post-Exploitation | DPAPI masterkey location variations missing
GAP-R1-046 | MEDIUM | AD | DCSync prerequisite check missing
GAP-R1-047 | MEDIUM | Enumeration | Port 445 vs 139 protocol selection missing
GAP-R1-048 | MEDIUM | Enumeration | SNMP first OID query missing - sysDescr.0 for OS info
GAP-R1-049 | MEDIUM | Post-Exploitation | Process command-line credential harvesting missing - ps aux | grep pass
GAP-R1-050 | MEDIUM | Reporting | Failed attempt logging missing
GAP-R1-051 | MEDIUM | Enumeration | File upload bypass order missing - extension → Content-Type → magic bytes
GAP-R1-052 | MEDIUM | Exploitation | SQLMap tamper selection criteria missing
GAP-R1-053 | MEDIUM | Post-Exploitation | SSH key hunt incomplete - check authorized_keys too
GAP-R1-054 | MEDIUM | Enumeration | Web server banner stripping evasion missing
GAP-R1-055 | MEDIUM | AD | Trust direction enumeration missing
GAP-R1-056 | MEDIUM | Post-Exploitation | Sticky Notes / Chrome vault hunting missing
GAP-R1-057 | MEDIUM | Methodology | "Stuck" decision criteria missing - what is real stuck vs waiting on scan
GAP-R1-058 | MEDIUM | Post-Exploitation | .NET assembly reflection loading for AV bypass missing
GAP-R1-059 | HIGH | Reporting | CVSS scoring missing from methodology
GAP-R1-060 | MEDIUM | Enumeration | Nmap -A implications missing - IDS risk warning

=== READER-2 GAPS: Footprinting & Web Intel (35 gaps) ===

GAP-R2-001 | HIGH | Web Enumeration | Parameter value fuzzing with custom numeric wordlist (seq 1 1000)
GAP-R2-002 | HIGH | Web Enumeration | FFUF recursive fuzzing decision tree - when to enable, max depth selection
GAP-R2-003 | HIGH | Web Enumeration | VHost fuzzing baseline calibration - send invalid vhost first to get baseline size
GAP-R2-004 | HIGH | Web Enumeration | CT log enumeration full workflow - crt.sh + dnsx + stale infra detection
GAP-R2-005 | HIGH | Web Proxy | Burp Intruder attack type selection - Sniper vs Cluster Bomb vs Pitchfork + payload encoding
GAP-R2-006 | HIGH | Web Proxy | Burp Repeater comparative workflow - clone tab, A/B testing, diff responses
GAP-R2-007 | HIGH | Web Proxy | ZAP Fuzzer processor sequence and filter workflow
GAP-R2-008 | MEDIUM | Web Enumeration | Web crawler selection - katana vs hakrawler vs gospider vs ReconSpider decision
GAP-R2-009 | MEDIUM | Web Enumeration | FFUF multi-keyword syntax for simultaneous fuzzing (-w list1:KEY1 -w list2:KEY2)
GAP-R2-010 | MEDIUM | Web Proxy | Burp Match and Replace rule chaining and regex patterns
GAP-R2-011 | MEDIUM | Web Enumeration | FFUF rate limiting/timeout tuning for WAF evasion
GAP-R2-012 | MEDIUM | Footprinting | SMB share prioritization when NULL session works - Replication/SYSVOL first
GAP-R2-013 | MEDIUM | Footprinting | DNS zone transfer → bruteforce wordlist sizing decision
GAP-R2-014 | MEDIUM | Footprinting | SMTP user enum method selection - VRFY → EXPN → RCPT order
GAP-R2-015 | MEDIUM | Web Enumeration | API endpoint discovery - wordlist selection + HTTP method override testing
GAP-R2-016 | MEDIUM | Web Enumeration | Subdomain tool combination workflow - subfinder + amass + assetfinder dedup
